                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61485,                0.36142,                0.83015,                0.98172,                0.97886,                0.99319,                0.88878,                0.62968,                0.43205,                 0.7856,              0.0014822,              0.0014822,              0.0014822
                     36,                0.60283,                0.34848,                0.82918,                0.97999,                0.98202,                0.99311,                0.88603,                0.60193,                0.41346,                 0.7764,              0.0014669,              0.0014669,              0.0014669
                     37,                0.59681,                0.34314,                0.82845,                0.97994,                0.98002,                0.99302,                0.87895,                0.66564,                 0.5954,                0.78914,              0.0014517,              0.0014517,              0.0014517
                     38,                 0.5891,                0.33383,                 0.8273,                0.97628,                0.98364,                0.99235,                0.88639,                0.62905,                0.51115,                0.78268,              0.0014365,              0.0014365,              0.0014365
                     39,                0.59173,                0.33671,                0.82716,                 0.9735,                0.97919,                0.99126,                0.88611,                0.62901,                0.65909,                0.78242,              0.0014212,              0.0014212,              0.0014212
                     40,                0.58162,                0.33009,                0.82529,                 0.9814,                0.98043,                0.99318,                0.89852,                0.58118,                0.44457,                0.77644,               0.001406,               0.001406,               0.001406
                     41,                0.57479,                 0.3275,                0.82459,                0.98117,                0.98047,                0.99306,                0.88899,                0.61329,                0.43628,                0.77975,              0.0013908,              0.0013908,              0.0013908
                     42,                0.58546,                0.32966,                0.82581,                0.98125,                0.97699,                0.99319,                0.89921,                0.59474,                0.51532,                0.77699,              0.0013755,              0.0013755,              0.0013755
                     43,                 0.5594,                0.31966,                0.82142,                0.97959,                0.98073,                0.99263,                0.89391,                 0.6037,                0.48063,                0.77829,              0.0013603,              0.0013603,              0.0013603
                     44,                0.57466,                0.33557,                0.82544,                0.98525,                0.98391,                0.99364,                0.88585,                0.61608,                 0.3666,                0.78359,              0.0013451,              0.0013451,              0.0013451
                     45,                0.58427,                0.33482,                0.82611,                0.98499,                0.98441,                0.99357,                0.89579,                0.58611,                0.34041,                0.77215,              0.0013298,              0.0013298,              0.0013298
                     46,                0.56262,                0.31856,                0.82182,                0.98572,                0.98214,                0.99351,                0.89933,                0.58091,                0.35487,                0.77151,              0.0013146,              0.0013146,              0.0013146
                     47,                0.55122,                0.31329,                0.82038,                0.97946,                0.97782,                0.99293,                0.90714,                0.56218,                0.45709,                0.77186,              0.0012994,              0.0012994,              0.0012994
                     48,                 0.5567,                0.32836,                0.82117,                0.98448,                0.98708,                0.99369,                0.89212,                0.62225,                0.33972,                0.77835,              0.0012842,              0.0012842,              0.0012842
                     49,                0.55568,                0.31888,                0.82085,                 0.9866,                0.98255,                0.99351,                0.91036,                0.54873,                0.34587,                0.77006,              0.0012689,              0.0012689,              0.0012689
